"skill_name","average_yearly_salary"
"pyspark","208172"
"bitbucket","189155"
"couchbase","160515"
"watson","160515"
"datarobot","155486"
"gitlab","154500"
"swift","153750"
"pandas","151821"
"golang","145000"
"elasticsearch","145000"
"numpy","143513"
"databricks","136861"
"jupyter","133114"
"kubernetes","132500"
"atlassian","131162"
"twilio","127000"
"airflow","126103"
"scikit-learn","125781"
"jenkins","125436"
"scala","124903"
"postgresql","123879"
"microstrategy","121619"
"shell","120275"
"crystal","120100"
"confluence","114210"
